"train_MSE (mean)"|"train_MSE (std)"|"test_MSE (mean)"|"test_MSE (std)"|"theta1 (mean)"|"theta1 (std)"|"theta2 (mean)"|"theta2 (std)"|"theta3 (mean)"|"theta3 (std)"|"time_onecore (mean)"|"time_onecore (std)"|"total_time_onecore"|"total_time_multicore"
"Ex1_d_10"|4.97208931723516|7.41979268892169|4.97581458442404|7.40506020511323|420.796551896403|5.54155845631697|420.740439835306|3.28353255812141|NA|NA|14150.995|1916.98803829697|283019.9|18369.28
"Ex1_d_20"|33.7005573001766|49.6589928294362|33.7257082690543|49.7484408169415|388.134946499088|163.179944356503|383.376643555439|161.011023562951|NA|NA|36133.31|2609.41126878721|722666.2|41920.02
"Ex1_d_25"|44.86552778877|51.9729245662447|44.8874386751498|52.0241055463864|386.27464715436|161.881840082778|380.205423670061|160.767836973621|NA|NA|45790.5835|2266.22060135436|915811.67|50637.3100000001
"Ex1_d_30"|92.8910402924723|69.8352871466077|92.8903322221295|69.7781779274046|278.483575681363|292.821716538272|311.888201942775|266.535397708913|NA|NA|31905.56|1645.41557589565|638111.2|34509.29
"Ex2_d_10"|0.353961226998644|0.294751931032792|0.355329795742859|0.295491577716394|0.0175117233141915|0.0640268665354081|-0.0127131616451877|0.0466333062139413|NA|NA|16022.188|1115.74182084623|320443.76|18230.8899999999
"Ex2_d_20"|0.474321458165364|0.52333137669061|0.474590014994499|0.52166709179897|0.0228052564364472|0.0610301298861321|-0.0220224933430142|0.0837744948057702|NA|NA|29290.816|1215.62385943402|585816.32|31113.7699999998
"Ex2_d_25"|1.07892737617883|0.638078827586997|1.0817175215382|0.644859544994919|0.0283978670939549|0.113653368217737|-0.0590252275796423|0.240454736843065|NA|NA|34200.278|1563.71007090458|684005.56|36968.02
"Ex2_d_30"|1.80347544887061|1.13271905718257|1.80680900677734|1.13638164874302|0.0180333990289423|0.219235246012564|0.0604659344119343|0.431240301858099|NA|NA|31818.611|1575.74757965495|636372.22|34493.01
"Ex3_d_10"|0.00744777066394974|0.012174625433012|0.00748192371951508|0.0122786628053908|0.108898821197594|0.0192941440463191|0.553006122797702|0.0045555876106763|0.850468819595131|0.00807868093401583|25006.4775|1447.02217365208|500129.55|28324.78
"Ex3_d_20"|0.0184215670180477|0.0152032444703182|0.0183993712734695|0.0151388583623662|0.132357330282397|0.0701692995561125|0.556692985914363|0.0153865921695465|0.85423385440914|0.008682087940011|32448.1635|1088.41538244838|648963.27|34013.9400000002
"Ex3_d_25"|0.0474769647735872|0.0323463498265142|0.0475305884471761|0.0324874861166823|0.195593272222786|0.116002363536516|0.559085072141433|0.0202888269076671|0.850084635383423|0.0152682809588215|34622.9435|1262.05825283553|692458.87|36881.8399999999
"Ex3_d_30"|0.0718182433343461|0.0499100227762424|0.071877959504927|0.050076968790313|0.25069061625896|0.191274319195451|0.558062201890824|0.022732718091237|0.848504928931457|0.0158000596301881|30678.571|1630.35734952059|613571.42|32612.6100000001
