"train_MSE (mean)"|"train_MSE (std)"|"test_MSE (mean)"|"test_MSE (std)"|"theta1 (mean)"|"theta1 (std)"|"theta2 (mean)"|"theta2 (std)"|"theta3 (mean)"|"theta3 (std)"|"time_onecore (mean)"|"time_onecore (std)"|"total_time_onecore"|"total_time_multicore"
"Ex1_p_0"|9.26968467059965|25.3804126423155|9.26320073322935|25.3246547750315|421.42245365725|4.18116860567884|419.120860315144|7.68732207088452|NA|NA|13787.141|1423.57944822901|275742.82|17007.6099999999
"Ex1_p_005"|4.97208931723516|7.41979268892169|4.97581458442404|7.40506020511323|420.796551896403|5.54155845631697|420.740439835306|3.28353255812141|NA|NA|14150.995|1916.98803829697|283019.9|18369.28
"Ex1_p_025"|23.4469784687652|39.0202026122858|23.4564457906095|39.0654844982557|423.643126443261|12.1764616143672|421.324027207054|6.66954656548926|NA|NA|12822.1215|1682.47958816515|256442.43|16918.6300000001
"Ex1_p_05"|24.5019581442078|26.0489492774113|24.5049277971496|26.0439427391617|418.977488037871|10.9043318149958|417.803348192788|8.65561504540659|NA|NA|11778.0465|1044.83955348115|235560.93|14184.8599999999
"Ex2_p_0"|0.524904619316298|0.602040249691501|0.525201626462863|0.604890037369318|0.0102767729561064|0.0883592845005639|-0.00335435878095058|0.0823537389161598|NA|NA|15102.853|1062.85129960132|302057.06|17470.6600000001
"Ex2_p_005"|0.353961226998644|0.294751931032792|0.355329795742859|0.295491577716394|0.0175117233141915|0.0640268665354081|-0.0127131616451877|0.0466333062139413|NA|NA|16022.188|1115.74182084623|320443.76|18230.8899999999
"Ex2_p_025"|0.630499884150132|0.458296383331719|0.631415152785173|0.456936215596548|-0.00879863058882879|0.104698198750608|-0.00268044253496669|0.0676179808756525|NA|NA|13795.9055|1514.09113181012|275918.11|19103.75
"Ex2_p_05"|0.821227801831737|0.634669327833225|0.820067024480251|0.632821333365305|0.0481011772449254|0.10275869280123|0.030436321266107|0.103608785785913|NA|NA|15512.478|852.842331152902|310249.56|16791.73
"Ex3_p_0"|0.00593211339518408|0.00744829357334355|0.00592203979697082|0.00745944487077785|0.12024422364689|0.0229079823357507|0.556168453239407|0.00790895276283935|0.852903077930619|0.0060890568200857|18257.377|1243.89107479672|365147.54|31966.6499999999
"Ex3_p_005"|0.00744777066394974|0.012174625433012|0.00748192371951508|0.0122786628053908|0.108898821197594|0.0192941440463191|0.553006122797702|0.0045555876106763|0.850468819595131|0.00807868093401583|25006.4775|1447.02217365208|500129.55|28324.78
"Ex3_p_025"|0.0107976475308743|0.0190081472759415|0.0108064237882121|0.0189464194757085|0.128869489230169|0.0302857184171774|0.557735193616807|0.00692897901643804|0.856217364066396|0.00872688650419019|19050.2495|1174.612502875|381004.99|33058.9400000002
"Ex3_p_05"|0.015564497481165|0.0209671726898452|0.0155568751391215|0.0209767154120475|0.114311469761256|0.0501303650474721|0.557017804736631|0.0108323799892774|0.84917627750661|0.0100618214785701|19597.7005|1352.53230952156|391954.01|33016.03
