"","Proposed (mean)","Proposed (std)","Sobol (mean)","Sobol (std)"
"theta 1",0.477174497751409,0.0536087461545112,0.544199823510848,0.0414261976790539
"theta 2",0.503376889170503,0.0989771119120983,0.542221514738598,0.0415452981035047
"theta 3",0.306628369511722,0.124686802907448,-0.00133118165151328,2.69264437912248e-05
"theta 4",0.307627089897618,0.118638808037421,-0.00133118165151328,2.69264437912248e-05
"theta 5",0.306267505255181,0.135342754401745,-0.00133118165151328,2.69264437912248e-05
"theta 6",0.289406990660794,0.115270198968643,-0.00133118165151328,2.69264437912248e-05
"theta 7",0.304994682425498,0.113259435169218,-0.00133118165151328,2.69264437912248e-05
"theta 8",0.307013686563852,0.117488266459217,-0.00133118165151328,2.69264437912248e-05
"theta 9",0.30344897907314,0.112857435110037,-0.00133118165151328,2.69264437912248e-05
"theta 10",0.291947002284061,0.117044013999651,-0.00133118165151328,2.69264437912248e-05
"theta 11",0.298355764080685,0.118591103771733,-0.00133118165151328,2.69264437912248e-05
"theta 12",0.308009435906485,0.118362116845494,-0.00133118165151328,2.69264437912248e-05
"theta 13",0.298329910538153,0.119982201341058,-0.00133118165151328,2.69264437912248e-05
"theta 14",0.314106341129913,0.116423726090728,-0.00133118165151328,2.69264437912248e-05
"theta 15",0.312656988507534,0.123031067981659,-0.00133118165151328,2.69264437912248e-05
"theta 16",0.299954766469952,0.110183980881265,-0.00133118165151328,2.69264437912248e-05
"theta 17",0.309614183250087,0.114582202611231,-0.00133118165151328,2.69264437912248e-05
"theta 18",0.301068053479051,0.130393718088073,-0.00133118165151328,2.69264437912248e-05
"theta 19",0.310327675901926,0.112692337195629,-0.00133118165151328,2.69264437912248e-05
"theta 20",0.306750264282771,0.114806029559452,-0.00133118165151328,2.69264437912248e-05
"theta 21",0.299147162538234,0.126578347846047,-0.00133118165151328,2.69264437912248e-05
"theta 22",0.303762582024738,0.114457371239993,-0.00133118165151328,2.69264437912248e-05
"theta 23",0.299283720834381,0.112144221691612,-0.00133118165151328,2.69264437912248e-05
"theta 24",0.305588112627061,0.117276607719995,-0.00133118165151328,2.69264437912248e-05
"theta 25",0.322010329245885,0.127320593002133,-0.00133118165151328,2.69264437912248e-05
"theta 26",0.305137146877368,0.118189356166665,-0.00133118165151328,2.69264437912248e-05
"theta 27",0.307235364531187,0.121583441197615,-0.00133118165151328,2.69264437912248e-05
"theta 28",0.314867717042682,0.104300475118873,-0.00133118165151328,2.69264437912248e-05
"theta 29",0.302969552558377,0.105908005186779,-0.00133118165151328,2.69264437912248e-05
"theta 30",0.303577474747161,0.1058150882751,-0.00133118165151328,2.69264437912248e-05
