"","Proposed (mean)","Proposed (std)","Sobol (mean)","Sobol (std)"
"theta 1",0.0485255375963056,0.0317614503105196,0.078048404089629,0.011190469397241
"theta 2",0.440382615891107,0.0302811041553871,0.45112521336156,0.02988254231315
"theta 3",0.85650648180734,0.0384191531678724,0.841031312790147,0.0421276200421674
"theta 4",0.0432190087019199,0.0247303014104259,-0.000928838167286217,1.72077774302949e-05
"theta 5",0.0263178949431806,0.0355510482034301,-0.000928838167286217,1.72077774302949e-05
"theta 6",0.0228359845826957,0.0229897698824078,-0.000928838167286217,1.72077774302949e-05
"theta 7",0.0288314566236992,0.0214973192534291,-0.000928838167286217,1.72077774302949e-05
"theta 8",0.0203792552950889,0.0259927083871613,-0.000928838167286217,1.72077774302949e-05
"theta 9",0.032448879859804,0.0303539195270752,-0.000928838167286217,1.72077774302949e-05
"theta 10",0.0360588780634358,0.0246500822236008,-0.000928838167286217,1.72077774302949e-05
"theta 11",0.0216638068661103,0.0258123065340336,-0.000928838167286217,1.72077774302949e-05
"theta 12",0.0214851234689514,0.0243556757497764,-0.000928838167286217,1.72077774302949e-05
"theta 13",0.0178979328490308,0.0314189391671029,-0.000928838167286217,1.72077774302949e-05
"theta 14",0.0300908760819948,0.0229535012066618,-0.000928838167286217,1.72077774302949e-05
"theta 15",0.0288543683104906,0.0380035573461935,-0.000928838167286217,1.72077774302949e-05
"theta 16",0.0240251695677357,0.0279953470483284,-0.000928838167286217,1.72077774302949e-05
"theta 17",0.0347401945609326,0.030728741844149,-0.000928838167286217,1.72077774302949e-05
"theta 18",0.0219224379115145,0.0218371256408931,-0.000928838167286217,1.72077774302949e-05
"theta 19",0.0270939250520948,0.0243930428775547,-0.000928838167286217,1.72077774302949e-05
"theta 20",0.0444780589692684,0.0335742068725561,-0.000928838167286217,1.72077774302949e-05
"theta 21",0.027954152473283,0.0275538560369258,-0.000928838167286217,1.72077774302949e-05
"theta 22",0.0278145704868855,0.0346694940806442,-0.000928838167286217,1.72077774302949e-05
"theta 23",0.0267607052654416,0.0353984666594633,-0.000928838167286217,1.72077774302949e-05
"theta 24",0.0232229648110083,0.0265217621453275,-0.000928838167286217,1.72077774302949e-05
"theta 25",0.0402300513835266,0.0272752978561355,-0.000928838167286217,1.72077774302949e-05
"theta 26",0.0299311569619017,0.0349698901193044,-0.000928838167286217,1.72077774302949e-05
"theta 27",0.0181189900203631,0.0277951106330128,-0.000928838167286217,1.72077774302949e-05
"theta 28",0.0322286082769564,0.0270082251313259,-0.000928838167286217,1.72077774302949e-05
"theta 29",0.0186171188007853,0.0197938781399294,-0.000928838167286217,1.72077774302949e-05
"theta 30",0.0271335666430529,0.0252921200015799,-0.000928838167286217,1.72077774302949e-05
