"","Proposed (mean)","Proposed (std)","Sobol (mean)","Sobol (std)"
"theta 1",0.535461343391556,0.0810270157619271,0.498341086261088,0.0298031486539519
"theta 2",0.498008556890574,0.0485759435410242,0.507963314826189,0.039524411920341
"theta 3",0.381797895107078,0.0800483008429086,-0.000936949473239512,1.62772233456437e-05
"theta 4",0.384133010333948,0.0822533958861606,-0.000936949473239512,1.62772233456437e-05
"theta 5",0.375393154902935,0.0942115178088574,-0.000936949473239512,1.62772233456437e-05
"theta 6",0.368983468366042,0.080784319549479,-0.000936949473239512,1.62772233456437e-05
"theta 7",0.373623727879532,0.0849170299659505,-0.000936949473239512,1.62772233456437e-05
"theta 8",0.384367455310566,0.0866189774545368,-0.000936949473239512,1.62772233456437e-05
"theta 9",0.381826491657022,0.0778865736130528,-0.000936949473239512,1.62772233456437e-05
"theta 10",0.386362617816492,0.0926631280838866,-0.000936949473239512,1.62772233456437e-05
"theta 11",0.378951408407573,0.0815829987593615,-0.000936949473239512,1.62772233456437e-05
"theta 12",0.376726073682934,0.0836304239937188,-0.000936949473239512,1.62772233456437e-05
"theta 13",0.384251420666416,0.0878308599130307,-0.000936949473239512,1.62772233456437e-05
"theta 14",0.389175401320668,0.0809698936533717,-0.000936949473239512,1.62772233456437e-05
"theta 15",0.375664352559831,0.0907449118581393,-0.000936949473239512,1.62772233456437e-05
"theta 16",0.377375082812097,0.0954799767559153,-0.000936949473239512,1.62772233456437e-05
"theta 17",0.377242392634791,0.0808768152831295,-0.000936949473239512,1.62772233456437e-05
"theta 18",0.388116649546479,0.0935388730895966,-0.000936949473239512,1.62772233456437e-05
"theta 19",0.377722368221085,0.100802863879106,-0.000936949473239512,1.62772233456437e-05
"theta 20",0.366286289359602,0.0894999001454487,-0.000936949473239512,1.62772233456437e-05
"theta 21",0.382614848605843,0.0871502631188333,-0.000936949473239512,1.62772233456437e-05
"theta 22",0.38374391568312,0.0881156292618962,-0.000936949473239512,1.62772233456437e-05
"theta 23",0.3901068313589,0.0813578441949823,-0.000936949473239512,1.62772233456437e-05
"theta 24",0.380288303412929,0.0808393842609266,-0.000936949473239512,1.62772233456437e-05
"theta 25",0.387600204299251,0.100079212408432,-0.000936949473239512,1.62772233456437e-05
"theta 26",0.384363389858173,0.0839871459738679,-0.000936949473239512,1.62772233456437e-05
"theta 27",0.371665790230747,0.0828322994847326,-0.000936949473239512,1.62772233456437e-05
"theta 28",0.379681703908129,0.0822793941704705,-0.000936949473239512,1.62772233456437e-05
"theta 29",0.37282751825595,0.0827531289191357,-0.000936949473239512,1.62772233456437e-05
"theta 30",0.377779342095821,0.086764914464776,-0.000936949473239512,1.62772233456437e-05
